label,x_um,y_um,z_um,r_um,brightness,x_vox,y_vox,z_vox
1,25.7500,25.7500,1.0000,0.1500,1.00000,25.7500,25.7500,0.2500
2,76.7500,25.7500,1.0000,0.1500,1.00000,76.7500,25.7500,0.2500
3,128.2500,25.7500,1.0000,0.1500,1.00000,128.2500,25.7500,0.2500
4,179.2500,25.7500,1.0000,0.1500,1.00000,179.2500,25.7500,0.2500
5,230.2500,25.7500,1.0000,0.1500,1.00000,230.2500,25.7500,0.2500
6,25.7500,76.7500,1.0000,0.1500,1.00000,25.7500,76.7500,0.2500
7,76.7500,76.7500,1.0000,0.1500,1.00000,76.7500,76.7500,0.2500
8,128.2500,76.7500,1.0000,0.1500,1.00000,128.2500,76.7500,0.2500
9,179.2500,76.7500,1.0000,0.1500,1.00000,179.2500,76.7500,0.2500
10,230.2500,76.7500,1.0000,0.1500,1.00000,230.2500,76.7500,0.2500
11,25.7500,128.2500,1.0000,0.1500,1.00000,25.7500,128.2500,0.2500
12,76.7500,128.2500,1.0000,0.1500,1.00000,76.7500,128.2500,0.2500
13,128.2500,128.2500,1.0000,0.1500,1.00000,128.2500,128.2500,0.2500
14,179.2500,128.2500,1.0000,0.1500,1.00000,179.2500,128.2500,0.2500
15,230.2500,128.2500,1.0000,0.1500,1.00000,230.2500,128.2500,0.2500
16,25.7500,179.2500,1.0000,0.1500,1.00000,25.7500,179.2500,0.2500
17,76.7500,179.2500,1.0000,0.1500,1.00000,76.7500,179.2500,0.2500
18,128.2500,179.2500,1.0000,0.1500,1.00000,128.2500,179.2500,0.2500
19,179.2500,179.2500,1.0000,0.1500,1.00000,179.2500,179.2500,0.2500
20,230.2500,179.2500,1.0000,0.1500,1.00000,230.2500,179.2500,0.2500
21,25.7500,230.2500,1.0000,0.1500,1.00000,25.7500,230.2500,0.2500
22,76.7500,230.2500,1.0000,0.1500,1.00000,76.7500,230.2500,0.2500
23,128.2500,230.2500,1.0000,0.1500,1.00000,128.2500,230.2500,0.2500
24,179.2500,230.2500,1.0000,0.1500,1.00000,179.2500,230.2500,0.2500
25,230.2500,230.2500,1.0000,0.1500,1.00000,230.2500,230.2500,0.2500
26,25.7500,25.7500,22.0000,0.1500,1.00000,25.7500,25.7500,5.5000
27,76.7500,25.7500,22.0000,0.1500,1.00000,76.7500,25.7500,5.5000
28,128.2500,25.7500,22.0000,0.1500,1.00000,128.2500,25.7500,5.5000
29,179.2500,25.7500,22.0000,0.1500,1.00000,179.2500,25.7500,5.5000
30,230.2500,25.7500,22.0000,0.1500,1.00000,230.2500,25.7500,5.5000
31,25.7500,76.7500,22.0000,0.1500,1.00000,25.7500,76.7500,5.5000
32,76.7500,76.7500,22.0000,0.1500,1.00000,76.7500,76.7500,5.5000
33,128.2500,76.7500,22.0000,0.1500,1.00000,128.2500,76.7500,5.5000
34,179.2500,76.7500,22.0000,0.1500,1.00000,179.2500,76.7500,5.5000
35,230.2500,76.7500,22.0000,0.1500,1.00000,230.2500,76.7500,5.5000
36,25.7500,128.2500,22.0000,0.1500,1.00000,25.7500,128.2500,5.5000
37,76.7500,128.2500,22.0000,0.1500,1.00000,76.7500,128.2500,5.5000
38,128.2500,128.2500,22.0000,0.1500,1.00000,128.2500,128.2500,5.5000
39,179.2500,128.2500,22.0000,0.1500,1.00000,179.2500,128.2500,5.5000
40,230.2500,128.2500,22.0000,0.1500,1.00000,230.2500,128.2500,5.5000
41,25.7500,179.2500,22.0000,0.1500,1.00000,25.7500,179.2500,5.5000
42,76.7500,179.2500,22.0000,0.1500,1.00000,76.7500,179.2500,5.5000
43,128.2500,179.2500,22.0000,0.1500,1.00000,128.2500,179.2500,5.5000
44,179.2500,179.2500,22.0000,0.1500,1.00000,179.2500,179.2500,5.5000
45,230.2500,179.2500,22.0000,0.1500,1.00000,230.2500,179.2500,5.5000
46,25.7500,230.2500,22.0000,0.1500,1.00000,25.7500,230.2500,5.5000
47,76.7500,230.2500,22.0000,0.1500,1.00000,76.7500,230.2500,5.5000
48,128.2500,230.2500,22.0000,0.1500,1.00000,128.2500,230.2500,5.5000
49,179.2500,230.2500,22.0000,0.1500,1.00000,179.2500,230.2500,5.5000
50,230.2500,230.2500,22.0000,0.1500,1.00000,230.2500,230.2500,5.5000
51,25.7500,25.7500,43.0000,0.1500,1.00000,25.7500,25.7500,10.7500
52,76.7500,25.7500,43.0000,0.1500,1.00000,76.7500,25.7500,10.7500
53,128.2500,25.7500,43.0000,0.1500,1.00000,128.2500,25.7500,10.7500
54,179.2500,25.7500,43.0000,0.1500,1.00000,179.2500,25.7500,10.7500
55,230.2500,25.7500,43.0000,0.1500,1.00000,230.2500,25.7500,10.7500
56,25.7500,76.7500,43.0000,0.1500,1.00000,25.7500,76.7500,10.7500
57,76.7500,76.7500,43.0000,0.1500,1.00000,76.7500,76.7500,10.7500
58,128.2500,76.7500,43.0000,0.1500,1.00000,128.2500,76.7500,10.7500
