label,x_um,y_um,z_um,fwhm_x_um,fwhm_y_um,fwhm_xy_um,fwhm_z_um,sigma_xy_um,sigma_z_um,peak,integrated,halo_fraction
1,25.75,25.75,1,0.520257,0.520113,0.520185,4.47225,1.0971,9.77116,221.19,32992,0.991179
2,76.75,25.75,1,0.520318,0.520283,0.5203,4.47046,1.11125,9.77728,221.246,33019.4,0.99118
3,128.25,25.75,1,0.520292,0.520071,0.520182,4.4733,1.08947,9.78347,220.407,32957.8,0.991199
4,179.25,25.75,1,0.52036,0.52018,0.52027,4.4702,1.10373,9.77417,221.584,33053.3,0.991173
5,230.25,25.75,1,0.520253,0.520212,0.520233,4.46809,1.0955,9.77921,220.616,32962.9,0.991194
6,25.75,76.75,1,0.520171,0.520361,0.520266,4.47157,1.09161,9.78186,220.068,32936,0.991205
7,76.75,76.75,1,0.520338,0.520077,0.520208,4.47017,1.08952,9.77389,220.854,32968.8,0.991186
8,128.25,76.75,1,0.520286,0.520369,0.520328,4.46792,1.10219,9.77757,220.638,32969.8,0.991194
9,179.25,76.75,1,0.520272,0.520114,0.520193,4.47418,1.09076,9.7819,220.539,32986.6,0.991194
10,230.25,76.75,1,0.519808,0.520448,0.520128,4.47356,1.08881,9.77806,220.62,32959.5,0.991195
11,25.75,128.25,1,0.52045,0.520083,0.520267,4.46962,1.10122,9.78098,220.703,32984.7,0.991196
12,76.75,128.25,1,0.520182,0.520241,0.520212,4.4719,1.08867,9.77748,220.703,32970.8,0.99119
13,128.25,128.25,1,0.520424,0.520097,0.520261,4.46613,1.10192,9.77554,221.135,33009.7,0.99119
14,179.25,128.25,1,0.520241,0.520168,0.520204,4.47008,1.0878,9.78097,220.385,32972.8,0.9912
15,230.25,128.25,1,0.520173,0.520149,0.520161,4.47112,1.10353,9.7774,221.422,33031.5,0.991183
16,25.75,179.25,1,0.520102,0.520112,0.520107,4.47239,1.0861,9.78214,220.644,32994.5,0.991198
17,76.75,179.25,1,0.520221,0.520329,0.520275,4.46973,1.10321,9.77437,221.463,33039.2,0.991174
18,128.25,179.25,1,0.52059,0.519971,0.52028,4.47067,1.09235,9.78449,220.232,32971.5,0.991203
19,179.25,179.25,1,0.519977,0.520693,0.520335,4.47141,1.08745,9.77817,220.364,32977.9,0.991189
20,230.25,179.25,1,0.520074,0.520259,0.520166,4.4718,1.09378,9.77837,221.077,33018.9,0.991187
21,25.75,230.25,1,0.520204,0.520115,0.52016,4.46948,1.09318,9.77428,220.948,32986.8,0.99119
22,76.75,230.25,1,0.519846,0.520445,0.520145,4.46902,1.0851,9.77757,220.63,32965.2,0.991197
23,128.25,230.25,1,0.520338,0.51999,0.520164,4.47213,1.09114,9.77983,220.721,32974.9,0.991194
24,179.25,230.25,1,0.520071,0.520412,0.520241,4.47024,1.09489,9.77735,220.874,33005.9,0.991189
25,230.25,230.25,1,0.520236,0.520043,0.520139,4.47267,1.09208,9.78202,220.633,32977.9,0.991199
26,25.75,25.75,22,0.520257,0.520113,0.520185,4.47341,1.0971,15.4274,221.19,57401.7,0.99493
27,76.75,25.75,22,0.520318,0.520283,0.5203,4.47476,1.11125,15.4393,221.246,57435.1,0.994929
28,128.25,25.75,22,0.520292,0.520071,0.520182,4.47383,1.08947,15.4457,220.407,57325.9,0.99494
29,179.25,25.75,22,0.52036,0.52018,0.52027,4.47418,1.10373,15.4335,221.584,57502.1,0.994926
30,230.25,25.75,22,0.520253,0.520212,0.520233,4.47006,1.0955,15.4412,220.616,57350.4,0.994939
31,25.75,76.75,22,0.520171,0.520361,0.520266,4.47251,1.09161,15.4453,220.068,57297.3,0.994944
32,76.75,76.75,22,0.520338,0.520077,0.520208,4.47184,1.08952,15.4323,220.854,57366.3,0.994935
33,128.25,76.75,22,0.520286,0.520369,0.520328,4.47089,1.10219,15.4395,220.638,57360.1,0.994938
34,179.25,76.75,22,0.520272,0.520114,0.520193,4.47518,1.09076,15.4439,220.539,57378.3,0.994938
35,230.25,76.75,22,0.519808,0.520448,0.520128,4.47314,1.08881,15.437,220.62,57335.4,0.994938
36,25.75,128.25,22,0.52045,0.520083,0.520267,4.47198,1.10122,15.4434,220.703,57375.4,0.994939
37,76.75,128.25,22,0.520182,0.520241,0.520212,4.47382,1.08867,15.4377,220.703,57360.7,0.994936
38,128.25,128.25,22,0.520424,0.520097,0.520261,4.46906,1.10192,15.4354,221.135,57426,0.994936
39,179.25,128.25,22,0.520241,0.520168,0.520204,4.47077,1.0878,15.4436,220.385,57363.8,0.994942
40,230.25,128.25,22,0.520173,0.520149,0.520161,4.47342,1.10353,15.4366,221.422,57450,0.99493
41,25.75,179.25,22,0.520102,0.520112,0.520107,4.47242,1.0861,15.4426,220.644,57392.7,0.99494
42,76.75,179.25,22,0.520221,0.520329,0.520275,4.47374,1.10321,15.4345,221.463,57479.2,0.994927
43,128.25,179.25,22,0.52059,0.519971,0.52028,4.47222,1.09235,15.4485,220.232,57359.2,0.994943
44,179.25,179.25,22,0.519977,0.520693,0.520335,4.47361,1.08745,15.4414,220.364,57385.7,0.994937
45,230.25,179.25,22,0.520074,0.520259,0.520166,4.47339,1.09378,15.4382,221.077,57437.3,0.994933
46,25.75,230.25,22,0.520204,0.520115,0.52016,4.47091,1.09318,15.4327,220.948,57389.5,0.994936
47,76.75,230.25,22,0.519846,0.520445,0.520145,4.46974,1.0851,15.4371,220.63,57353.6,0.99494
48,128.25,230.25,22,0.520338,0.51999,0.520164,4.47289,1.09114,15.4396,220.721,57360.8,0.994938
49,179.25,230.25,22,0.520071,0.520412,0.520241,4.47214,1.09489,15.4384,220.874,57420.3,0.994936
50,230.25,230.25,22,0.520236,0.520043,0.520139,4.47295,1.09208,15.4427,220.633,57358.4,0.99494
51,25.75,25.75,43,0.520257,0.520113,0.520185,4.47457,1.0971,17.7972,221.19,70638.4,0.99588
52,76.75,25.75,43,0.520318,0.520283,0.5203,4.47906,1.11125,17.777,221.246,70672.7,0.995879
53,128.25,25.75,43,0.520292,0.520071,0.520182,4.47436,1.08947,17.7905,220.407,70538.1,0.995888
54,179.25,25.75,43,0.52036,0.52018,0.52027,4.47816,1.10373,17.7777,221.584,70772.4,0.995878
55,230.25,25.75,43,0.520253,0.520212,0.520233,4.47202,1.0955,17.7914,220.616,70587.5,0.995888
56,25.75,76.75,43,0.520171,0.520361,0.520266,4.47345,1.09161,17.7946,220.068,70517.3,0.995892
57,76.75,76.75,43,0.520338,0.520077,0.520208,4.4735,1.08952,17.7951,220.854,70606.2,0.995884
58,128.25,76.75,43,0.520286,0.520369,0.520328,4.47386,1.10219,17.7869,220.638,70600.5,0.995888
59,179.25,76.75,43,0.520272,0.520114,0.520193,4.47617,1.09076,17.7892,220.539,70623,0.995887
60,230.25,76.75,43,0.519808,0.520448,0.520128,4.47271,1.08881,17.7982,220.62,70547.8,0.995886
61,25.75,128.25,43,0.52045,0.520083,0.520267,4.47435,1.10122,17.7864,220.703,70601.8,0.995887
62,76.75,128.25,43,0.520182,0.520241,0.520212,4.47574,1.08867,17.7896,220.703,70594.6,0.995885
63,128.25,128.25,43,0.520424,0.520097,0.520261,4.47198,1.10192,17.788,221.135,70670,0.995885
64,179.25,128.25,43,0.520241,0.520168,0.520204,4.47146,1.0878,17.7963,220.385,70615.5,0.995891
65,230.25,128.25,43,0.520173,0.520149,0.520161,4.47571,1.10353,17.7849,221.422,70676.5,0.995879
66,25.75,179.25,43,0.520102,0.520112,0.520107,4.47246,1.0861,17.7919,220.644,70636.9,0.995888
67,76.75,179.25,43,0.520221,0.520329,0.520275,4.47775,1.10321,17.7785,221.463,70751.4,0.995878
68,128.25,179.25,43,0.52059,0.519971,0.52028,4.47376,1.09235,17.7859,220.232,70613.4,0.995892
69,179.25,179.25,43,0.519977,0.520693,0.520335,4.47582,1.08745,17.7898,220.364,70675.9,0.995889
70,230.25,179.25,43,0.520074,0.520259,0.520166,4.47498,1.09378,17.7877,221.077,70693.4,0.995883
71,25.75,230.25,43,0.520204,0.520115,0.52016,4.47233,1.09318,17.7966,220.948,70625.4,0.995885
72,76.75,230.25,43,0.519846,0.520445,0.520145,4.47047,1.0851,17.7988,220.63,70588.3,0.995889
73,128.25,230.25,43,0.520338,0.51999,0.520164,4.47364,1.09114,17.7915,220.721,70583.1,0.995886
74,179.25,230.25,43,0.520071,0.520412,0.520241,4.47404,1.09489,17.7883,220.874,70676.3,0.995885
75,230.25,230.25,43,0.520236,0.520043,0.520139,4.47323,1.09208,17.7915,220.633,70572.2,0.995887
76,25.75,25.75,65,0.519651,0.519646,0.519648,4.46916,1.36991,17.9956,220.154,71359.8,0.995994
77,76.75,25.75,65,0.519681,0.519714,0.519698,4.4737,1.37191,18.0163,220.631,71368.6,0.995986
78,128.25,25.75,65,0.519777,0.519671,0.519724,4.4722,1.378,17.9985,220.197,71265.9,0.995988
79,179.25,25.75,65,0.519714,0.519695,0.519704,4.47352,1.372,18.0152,220.6,71444.3,0.99599
80,230.25,25.75,65,0.519675,0.519632,0.519654,4.47042,1.37114,17.9985,220.244,71321.6,0.99599
81,25.75,76.75,65,0.519615,0.519702,0.519659,4.47068,1.37128,17.9954,220.059,71262,0.99599
82,76.75,76.75,65,0.519725,0.519583,0.519654,4.46909,1.37108,17.9956,220.141,71337.9,0.995993
83,128.25,76.75,65,0.519606,0.519681,0.519644,4.47025,1.3703,18.0025,220.297,71331.8,0.99599
84,179.25,76.75,65,0.519743,0.519698,0.51972,4.47193,1.37711,18.0012,220.293,71329.4,0.99599
85,230.25,76.75,65,0.519617,0.519791,0.519704,4.47069,1.37647,17.9928,219.999,71280.7,0.995992
86,25.75,128.25,65,0.519826,0.51959,0.519708,4.47136,1.37735,18.0037,220.351,71321,0.995988
87,76.75,128.25,65,0.519718,0.519688,0.519703,4.47074,1.37686,18.0007,220.291,71321.2,0.995989
88,128.25,128.25,65,0.51977,0.519536,0.519653,4.46979,1.37202,18.0015,220.385,71386.5,0.995992
89,179.25,128.25,65,0.519646,0.519724,0.519685,4.47051,1.37559,17.9939,220.117,71338.7,0.995994
90,230.25,128.25,65,0.519695,0.519706,0.5197,4.47347,1.37292,18.0088,220.536,71374,0.995988
91,25.75,179.25,65,0.519718,0.519692,0.519705,4.47177,1.3765,17.9968,220.224,71343.5,0.995992
92,76.75,179.25,65,0.51964,0.519784,0.519712,4.47346,1.37412,18.014,220.579,71433,0.99599
93,128.25,179.25,65,0.519819,0.519543,0.519681,4.47206,1.37316,18.0019,220.304,71327.9,0.99599
94,179.25,179.25,65,0.519601,0.519746,0.519674,4.4706,1.36975,18.0007,220.148,71382.8,0.995996
95,230.25,179.25,65,0.519607,0.519777,0.519692,4.47179,1.37337,18.0038,220.404,71387.7,0.995991
96,25.75,230.25,65,0.519589,0.519672,0.519631,4.46901,1.36938,17.9949,220.178,71354.5,0.995994
97,76.75,230.25,65,0.519522,0.51975,0.519636,4.46887,1.37118,17.991,220.128,71329.9,0.995993
98,128.25,230.25,65,0.519783,0.519599,0.519691,4.47136,1.37468,17.9976,220.231,71307.2,0.995989
99,179.25,230.25,65,0.519572,0.519797,0.519684,4.47098,1.37254,18.0017,220.255,71378.6,0.995993
100,230.25,230.25,65,0.519756,0.519614,0.519685,4.47174,1.37372,17.9978,220.247,71294.8,0.995988
101,25.75,25.75,86,0.519651,0.519646,0.519648,4.46921,1.36991,16.6765,220.154,70343.7,0.995936
102,76.75,25.75,86,0.519681,0.519714,0.519698,4.47469,1.37191,16.6628,220.631,70367,0.995929
103,128.25,25.75,86,0.519777,0.519671,0.519724,4.47523,1.378,16.6674,220.197,70292.2,0.995932
104,179.25,25.75,86,0.519714,0.519695,0.519704,4.47539,1.372,16.6645,220.6,70436.7,0.995933
105,230.25,25.75,86,0.519675,0.519632,0.519654,4.47071,1.37114,16.6719,220.244,70328.9,0.995934
106,25.75,76.75,86,0.519615,0.519702,0.519659,4.47079,1.37128,16.6713,220.059,70287.1,0.995935
107,76.75,76.75,86,0.519725,0.519583,0.519654,4.46956,1.37108,16.6752,220.141,70332.4,0.995936
108,128.25,76.75,86,0.519606,0.519681,0.519644,4.47033,1.3703,16.6706,220.297,70337.7,0.995934
109,179.25,76.75,86,0.519743,0.519698,0.51972,4.47465,1.37711,16.6659,220.293,70362.2,0.995935
110,230.25,76.75,86,0.519617,0.519791,0.519704,4.47119,1.37647,16.6754,219.999,70292.8,0.995936
111,25.75,128.25,86,0.519826,0.51959,0.519708,4.47284,1.37735,16.668,220.351,70331.4,0.995932
112,76.75,128.25,86,0.519718,0.519688,0.519703,4.47195,1.37686,16.6694,220.291,70328.8,0.995933
113,128.25,128.25,86,0.51977,0.519536,0.519653,4.4707,1.37202,16.6724,220.385,70372.1,0.995934
114,179.25,128.25,86,0.519646,0.519724,0.519685,4.47088,1.37559,16.6729,220.117,70363.7,0.995938
115,230.25,128.25,86,0.519695,0.519706,0.5197,4.47387,1.37292,16.6681,220.536,70367.5,0.99593
116,25.75,179.25,86,0.519718,0.519692,0.519705,4.4747,1.3765,16.6694,220.224,70367.9,0.995936
117,76.75,179.25,86,0.51964,0.519784,0.519712,4.47492,1.37412,16.6649,220.579,70431,0.995933
118,128.25,179.25,86,0.519819,0.519543,0.519681,4.47492,1.37316,16.6648,220.304,70364,0.995935
119,179.25,179.25,86,0.519601,0.519746,0.519674,4.47071,1.36975,16.6706,220.148,70418.5,0.995941
120,230.25,179.25,86,0.519607,0.519777,0.519692,4.47315,1.37337,16.6688,220.404,70400,0.995935
121,25.75,230.25,86,0.519589,0.519672,0.519631,4.4692,1.36938,16.6759,220.178,70345,0.995936
122,76.75,230.25,86,0.519522,0.51975,0.519636,4.46945,1.37118,16.6762,220.128,70331.5,0.995936
123,128.25,230.25,86,0.519783,0.519599,0.519691,4.47368,1.37468,16.67,220.231,70317.4,0.995933
124,179.25,230.25,86,0.519572,0.519797,0.519684,4.47191,1.37254,16.6712,220.255,70388.1,0.995937
125,230.25,230.25,86,0.519756,0.519614,0.519685,4.47443,1.37372,16.6689,220.247,70311.4,0.995932
126,25.75,25.75,107,0.519651,0.519646,0.519648,4.46916,1.36991,18.0084,220.154,70254.2,0.995931
127,76.75,25.75,107,0.519681,0.519714,0.519698,4.4737,1.37191,18.0024,220.631,70275.5,0.995923
128,128.25,25.75,107,0.519777,0.519671,0.519724,4.4722,1.378,18.012,220.197,70248.1,0.995929
129,179.25,25.75,107,0.519714,0.519695,0.519704,4.47352,1.372,18.0007,220.6,70327.2,0.995927
130,230.25,25.75,107,0.519675,0.519632,0.519654,4.47042,1.37114,18.0085,220.244,70254.8,0.99593
131,25.75,76.75,107,0.519615,0.519702,0.519659,4.47068,1.37128,18.0141,220.059,70238.1,0.995932
132,76.75,76.75,107,0.519725,0.519583,0.519654,4.46909,1.37108,18.0086,220.141,70253.1,0.995931
133,128.25,76.75,107,0.519606,0.519681,0.519644,4.47025,1.3703,18.0075,220.297,70259.2,0.995929
134,179.25,76.75,107,0.519743,0.519698,0.51972,4.47193,1.37711,18.0116,220.293,70296.9,0.995931
135,230.25,76.75,107,0.519617,0.519791,0.519704,4.47069,1.37647,18.0107,219.999,70239,0.995933
136,25.75,128.25,107,0.519826,0.51959,0.519708,4.47136,1.37735,18.0066,220.351,70261.3,0.995928
137,76.75,128.25,107,0.519718,0.519688,0.519703,4.47074,1.37686,18.0107,220.291,70257.7,0.995928
138,128.25,128.25,107,0.51977,0.519536,0.519653,4.46979,1.37202,18.0045,220.385,70273.9,0.995928
139,179.25,128.25,107,0.519646,0.519724,0.519685,4.47051,1.37559,18.0114,220.117,70291.2,0.995934
140,230.25,128.25,107,0.519695,0.519706,0.5197,4.47347,1.37292,18.003,220.536,70272.8,0.995925
141,25.75,179.25,107,0.519718,0.519692,0.519705,4.47177,1.3765,18.0111,220.224,70301.6,0.995932
142,76.75,179.25,107,0.51964,0.519784,0.519712,4.47346,1.37412,18.0018,220.579,70323,0.995927
143,128.25,179.25,107,0.519819,0.519543,0.519681,4.47206,1.37316,18.0123,220.304,70303.8,0.995931
144,179.25,179.25,107,0.519601,0.519746,0.519674,4.4706,1.36975,18.0082,220.148,70334.2,0.995936
145,230.25,179.25,107,0.519607,0.519777,0.519692,4.47179,1.37337,18.0061,220.404,70307.7,0.99593
146,25.75,230.25,107,0.519589,0.519672,0.519631,4.46901,1.36938,18.0083,220.178,70255.2,0.995931
147,76.75,230.25,107,0.519522,0.51975,0.519636,4.46887,1.37118,18.0107,220.128,70250.6,0.995932
148,128.25,230.25,107,0.519783,0.519599,0.519691,4.47136,1.37468,18.0114,220.231,70256.4,0.995929
149,179.25,230.25,107,0.519572,0.519797,0.519684,4.47098,1.37254,18.0054,220.255,70304,0.995932
150,230.25,230.25,107,0.519756,0.519614,0.519685,4.47174,1.37372,18.0112,220.247,70255.9,0.995929
151,25.75,25.75,129,0.519889,0.519899,0.519894,4.4855,0.847621,17.7439,217.559,70981.8,0.995972
152,76.75,25.75,129,0.520043,0.519852,0.519947,4.48709,0.858901,17.7493,217.573,70994.2,0.995973
153,128.25,25.75,129,0.519697,0.520011,0.519854,4.48645,0.844999,17.7433,218.41,71039.9,0.995962
154,179.25,25.75,129,0.519781,0.520128,0.519954,4.48782,0.857757,17.7507,217.688,71062.2,0.995975
155,230.25,25.75,129,0.519817,0.519949,0.519883,4.48634,0.847757,17.745,217.896,71004.2,0.995968
156,25.75,76.75,129,0.519969,0.519716,0.519843,4.48536,0.841547,17.7413,218.008,71012.5,0.995967
157,76.75,76.75,129,0.519963,0.519818,0.51989,4.48572,0.847392,17.744,217.734,70996.4,0.99597
158,128.25,76.75,129,0.51988,0.51988,0.51988,4.48618,0.849026,17.7456,217.911,71010.2,0.995968
159,179.25,76.75,129,0.519759,0.519917,0.519838,4.48555,0.843467,17.7427,218.076,71077.5,0.99597
160,230.25,76.75,129,0.520062,0.519764,0.519913,4.48665,0.853662,17.7431,218.021,71007.2,0.995966
161,25.75,128.25,129,0.519834,0.519991,0.519913,4.48685,0.854055,17.7459,217.955,71013.9,0.995968
162,76.75,128.25,129,0.519953,0.519721,0.519837,4.4851,0.843278,17.7431,217.923,71013.2,0.995968
163,128.25,128.25,129,0.519915,0.519934,0.519925,4.48663,0.858583,17.7477,217.801,71005.2,0.99597
164,179.25,128.25,129,0.519807,0.519939,0.519873,4.48615,0.845907,17.7431,217.941,71064.2,0.995971
165,230.25,128.25,129,0.519893,0.520085,0.519989,4.48726,0.863337,17.7485,217.48,70978.4,0.995973
166,25.75,179.25,129,0.519698,0.520002,0.51985,4.48656,0.846476,17.7437,218.321,71094.7,0.995967
167,76.75,179.25,129,0.51993,0.520008,0.519969,4.48781,0.863492,17.7503,217.764,71064.1,0.995973
168,128.25,179.25,129,0.519799,0.519847,0.519823,4.48592,0.841916,17.7433,218.379,71106.8,0.995967
169,179.25,179.25,129,0.520073,0.519719,0.519896,4.48628,0.849859,17.7442,217.791,71116.2,0.995977
170,230.25,179.25,129,0.519924,0.519911,0.519918,4.48646,0.855982,17.7459,217.733,71050.2,0.995973
171,25.75,230.25,129,0.519852,0.519913,0.519882,4.4856,0.845232,17.744,217.553,70979.4,0.995972
172,76.75,230.25,129,0.520038,0.519689,0.519864,4.4854,0.842023,17.7426,217.676,70983.7,0.99597
173,128.25,230.25,129,0.519773,0.519911,0.519842,4.48594,0.844089,17.7435,218.291,71033.4,0.995964
174,179.25,230.25,129,0.520019,0.519811,0.519915,4.48733,0.854697,17.747,218.024,71076.4,0.99597
175,230.25,230.25,129,0.519851,0.519815,0.519833,4.48617,0.840832,17.7435,218.237,71031.6,0.995965
176,25.75,25.75,150,0.519889,0.519899,0.519894,4.5001,0.847621,16.8034,217.559,71849.7,0.996021
177,76.75,25.75,150,0.520043,0.519852,0.519947,4.5007,0.858901,16.799,217.573,71841,0.99602
178,128.25,25.75,150,0.519697,0.520011,0.519854,4.50178,0.844999,16.8006,218.41,71962.9,0.996014
179,179.25,25.75,150,0.519781,0.520128,0.519954,4.50134,0.857757,16.7984,217.688,71911.3,0.996022
180,230.25,25.75,150,0.519817,0.519949,0.519883,4.5011,0.847757,16.8011,217.896,71887.3,0.996017
181,25.75,76.75,150,0.519969,0.519716,0.519843,4.50078,0.841547,16.8023,218.008,71908,0.996017
182,76.75,76.75,150,0.519963,0.519818,0.51989,4.50055,0.847392,16.8028,217.734,71875.1,0.996019
183,128.25,76.75,150,0.51988,0.51988,0.51988,4.50129,0.849026,16.8016,217.911,71893.9,0.996018
184,179.25,76.75,150,0.519759,0.519917,0.519838,4.50076,0.843467,16.8012,218.076,71968.1,0.99602
185,230.25,76.75,150,0.520062,0.519764,0.519913,4.50111,0.853662,16.8014,218.021,71907,0.996017
186,25.75,128.25,150,0.519834,0.519991,0.519913,4.50135,0.854055,16.8001,217.955,71893.8,0.996017
187,76.75,128.25,150,0.519953,0.519721,0.519837,4.50085,0.843278,16.8026,217.923,71897,0.996018
