label,x_um,y_um,z_um,r_um,brightness,x_vox,y_vox,z_vox
1,114.5835,139.4491,41.9250,5.1694,1.20061,114.5835,139.4491,10.4813
2,245.6741,11.2617,116.5397,6.3451,0.53580,245.6741,11.2617,29.1349
3,86.2190,123.2070,241.4205,8.3706,1.56874,86.2190,123.2070,60.3551
4,39.3469,20.3231,234.9895,6.8995,1.75828,39.3469,20.3231,58.7474
5,128.9830,29.0016,109.5342,6.0632,0.31017,128.9830,29.0016,27.3835
6,128.5708,239.4513,70.9504,8.7204,0.45781,128.5708,239.4513,17.7376
7,214.2743,115.5824,75.0850,7.0182,1.07972,214.2743,115.5824,18.7712
8,101.8866,135.2862,241.0113,8.4219,0.82717,101.8866,135.2862,60.2528
9,79.8380,14.2806,101.7698,5.7459,0.98997,79.8380,14.2806,25.4424
10,171.6402,50.7528,170.3744,5.8007,0.59940,171.6402,50.7528,42.5936
11,92.9783,91.4406,180.4306,6.0539,1.69493,92.9783,91.4406,45.1076
12,94.6746,212.7239,145.2874,6.8660,1.59468,94.6746,212.7239,36.3219
13,224.9379,89.8758,16.2996,5.8553,1.04041,224.9379,89.8758,4.0749
14,37.7289,65.2206,187.3173,6.9784,1.96668,37.7289,65.2206,46.8293
15,202.5733,234.1484,153.8824,5.5230,1.32380,202.5733,234.1484,38.4706
16,178.9013,245.4446,90.2359,7.8414,0.59716,178.9013,245.4446,22.5590
17,132.6518,136.0696,49.8303,5.6514,1.24764,132.6518,136.0696,12.4576
18,11.8296,230.2534,71.7109,7.4524,0.56252,11.8296,230.2534,17.9277
19,32.5368,64.7029,72.9047,5.1582,1.69396,32.5368,64.7029,18.2262
20,74.2205,53.1584,98.4154,5.1312,0.97049,74.2205,53.1584,24.6038
21,89.2140,86.5437,29.1586,6.5407,0.89501,89.2140,86.5437,7.2897
22,55.3760,190.5707,247.6586,5.1008,0.66461,55.3760,190.5707,61.9147
23,128.9982,135.5286,84.1352,8.7141,2.08241,128.9982,135.5286,21.0338
24,190.9614,209.8709,222.0543,8.0958,0.91145,190.9614,209.8709,55.5136
25,192.1903,201.6966,81.9297,6.7374,0.77337,192.1903,201.6966,20.4824
26,32.0350,244.9273,191.8943,8.7170,0.80955,32.0350,244.9273,47.9736
27,166.0035,14.6874,193.7240,5.3731,1.37628,166.0035,14.6874,48.4310
28,152.3333,212.7922,32.4546,8.1969,1.24516,152.3333,212.7922,8.1136
29,107.2488,17.3697,115.4790,6.1037,1.28100,107.2488,17.3697,28.8698
30,102.0549,109.8840,219.7715,6.0609,1.29498,102.0549,109.8840,54.9429
31,223.2218,110.0970,86.3575,6.0814,3.61463,223.2218,110.0970,21.5894
32,108.2600,69.7742,128.6430,7.0100,0.78361,108.2600,69.7742,32.1607
33,92.0507,143.9729,106.9768,5.6072,0.73540,92.0507,143.9729,26.7442
34,70.2436,239.5279,195.5955,8.2956,0.61369,70.2436,239.5279,48.8989
35,207.8879,43.4437,134.2514,8.8704,1.44714,207.8879,43.4437,33.5629
36,205.2147,148.4211,70.6033,5.6799,1.96872,205.2147,148.4211,17.6508
37,36.9672,143.1075,180.2901,8.7184,0.93392,36.9672,143.1075,45.0725
38,70.0774,167.0859,36.5199,7.0490,0.60405,70.0774,167.0859,9.1300
39,221.3547,53.7318,86.2017,8.7482,0.60976,221.3547,53.7318,21.5504
40,180.1821,114.2776,45.7509,7.3505,1.47751,180.1821,114.2776,11.4377
41,249.5263,117.1431,218.5873,5.4166,1.56198,249.5263,117.1431,54.6468
42,229.4254,29.0041,35.3102,6.9295,1.38527,229.4254,29.0041,8.8275
43,233.8603,84.1690,93.7374,8.7185,0.67079,233.8603,84.1690,23.4343
44,107.8469,53.4929,223.7616,6.8098,1.14947,107.8469,53.4929,55.9404
45,177.6705,23.2631,16.3900,6.0132,1.07252,177.6705,23.2631,4.0975
46,89.5618,165.1191,31.0644,7.6149,1.14021,89.5618,165.1191,7.7661
47,186.7491,216.9500,42.0612,8.7994,1.68684,186.7491,216.9500,10.5153
48,96.2132,136.9749,78.9562,6.2806,1.14357,96.2132,136.9749,19.7390
49,96.0699,68.2291,100.2201,5.2425,1.50283,96.0699,68.2291,25.0550
50,70.2779,158.7763,100.8858,5.7878,1.04138,70.2779,158.7763,25.2214
51,136.1793,193.5828,98.7785,6.3815,1.18943,136.1793,193.5828,24.6946
52,239.5622,133.2598,226.0645,7.3501,1.46049,239.5622,133.2598,56.5161
53,23.1292,111.1503,175.1305,8.1747,0.41716,23.1292,111.1503,43.7826
54,118.1724,31.8541,142.6408,8.9468,0.82547,118.1724,31.8541,35.6602
55,189.1161,129.8654,182.2910,5.5063,0.75411,189.1161,129.8654,45.5728
56,158.5665,154.6532,188.3446,8.4774,0.68159,158.5665,154.6532,47.0862
57,215.5618,18.0133,141.3317,8.3698,0.84782,215.5618,18.0133,35.3329
58,215.3009,163.9523,108.6723,5.8651,2.45215,215.3009,163.9523,27.1681
59,88.9640,177.4151,56.3086,5.7524,0.59482,88.9640,177.4151,14.0772
60,222.3885,192.2695,54.9747,5.3743,1.78777,222.3885,192.2695,13.7437
61,242.0812,178.3102,154.7089,6.1692,0.36432,242.0812,178.3102,38.6772
62,79.4809,16.7770,183.1873,6.2305,0.81797,79.4809,16.7770,45.7968
63,7.3562,183.9175,237.3702,5.1727,1.10258,7.3562,183.9175,59.3425
64,121.2518,124.6795,112.8038,8.0260,1.42153,121.2518,124.6795,28.2009
65,133.2419,111.3796,151.6980,6.2986,1.53225,133.2419,111.3796,37.9245
66,245.2257,28.2401,100.6913,8.5925,1.60964,245.2257,28.2401,25.1728
67,92.1312,76.4507,49.0576,5.7228,0.81120,92.1312,76.4507,12.2644
68,127.1171,227.7332,16.8096,8.0563,0.75774,127.1171,227.7332,4.2024
69,104.4506,25.8126,70.2332,5.2679,1.67328,104.4506,25.8126,17.5583
70,59.2819,56.7220,145.3874,8.9441,0.89156,59.2819,56.7220,36.3469
71,147.3065,98.4145,206.4282,6.9920,0.46514,147.3065,98.4145,51.6070
72,110.6072,174.0915,217.4414,5.5543,0.50663,110.6072,174.0915,54.3604
73,144.3296,24.1440,48.5326,6.4783,0.57599,144.3296,24.1440,12.1331
74,183.4769,76.4039,182.4701,5.2766,1.34756,183.4769,76.4039,45.6175
75,216.2691,209.6911,27.9170,5.2656,1.08921,216.2691,209.6911,6.9792
76,19.8188,214.2186,63.3181,5.0950,1.51330,19.8188,214.2186,15.8295
77,110.3271,198.8120,125.3399,7.1931,0.77387,110.3271,198.8120,31.3350
78,245.3795,44.0329,207.3672,7.0026,1.09980,245.3795,44.0329,51.8418
79,122.5556,222.1058,168.2438,5.2070,1.45551,122.5556,222.1058,42.0610
80,71.5468,108.5786,96.1771,7.7409,0.83060,71.5468,108.5786,24.0443
81,118.9412,86.4853,81.3487,7.0858,1.31530,118.9412,86.4853,20.3372
82,95.3424,43.2882,218.0467,6.0034,0.67223,95.3424,43.2882,54.5117
83,40.4079,174.3679,211.1559,7.4085,0.80426,40.4079,174.3679,52.7890
84,43.4105,9.0364,18.3894,5.9501,0.79529,43.4105,9.0364,4.5974
85,243.9026,19.7261,187.0166,8.0490,0.48797,243.9026,19.7261,46.7541
86,150.4274,190.3352,93.7268,5.2874,1.33935,150.4274,190.3352,23.4317
87,151.2179,247.8207,68.8799,5.0437,0.75454,151.2179,247.8207,17.2200
88,36.8080,141.3986,151.3864,5.7580,1.00752,36.8080,141.3986,37.8466
89,188.1459,221.2921,200.6705,8.1691,1.33435,188.1459,221.2921,50.1676
90,141.5236,78.9693,86.8043,5.9891,1.30724,141.5236,78.9693,21.7011
91,171.0265,240.2617,108.3461,8.7278,1.49068,171.0265,240.2617,27.0865
92,124.9116,33.8665,64.8873,7.1498,0.94262,124.9116,33.8665,16.2218
93,24.2655,231.4555,37.8056,7.1105,0.77571,24.2655,231.4555,9.4514
94,192.3182,30.2904,225.0339,5.7919,0.95329,192.3182,30.2904,56.2585
95,25.2479,173.6969,159.3532,7.9028,0.36335,25.2479,173.6969,39.8383
96,206.0918,179.9546,148.5049,8.0294,0.41968,206.0918,179.9546,37.1262
97,175.6259,238.3222,149.1295,6.2899,0.45220,175.6259,238.3222,37.2824
98,112.9934,189.1323,246.7859,7.6574,0.54972,112.9934,189.1323,61.6965
99,55.7687,137.5722,123.4795,5.6416,1.27108,55.7687,137.5722,30.8699
100,20.0360,105.0812,147.8673,7.2863,0.58084,20.0360,105.0812,36.9668
101,165.6529,180.7018,161.8749,7.3408,0.79700,165.6529,180.7018,40.4687
102,157.6529,136.9147,153.2406,8.1610,2.18046,157.6529,136.9147,38.3101
103,72.8338,134.6634,218.7069,5.4048,0.80754,72.8338,134.6634,54.6767
104,30.2846,150.0138,61.6157,7.7162,1.55661,30.2846,150.0138,15.4039
105,205.9728,150.2545,149.7560,7.9361,0.57111,205.9728,150.2545,37.4390
106,115.0306,215.8562,181.8852,6.3544,0.88403,115.0306,215.8562,45.4713
107,96.3966,20.1622,42.3782,7.0790,0.56552,96.3966,20.1622,10.5945
108,97.3011,235.6852,129.2495,5.7721,0.81594,97.3011,235.6852,32.3124
109,32.5437,88.8503,204.4451,5.9394,1.65564,32.5437,88.8503,51.1113
110,193.6557,200.9317,34.2338,6.5334,0.35473,193.6557,200.9317,8.5584
111,237.7840,104.5982,20.6169,7.4346,1.29778,237.7840,104.5982,5.1542
112,218.7807,133.2390,140.3638,8.6932,1.15332,218.7807,133.2390,35.0909
113,205.4049,127.6608,15.0558,5.8470,0.70013,205.4049,127.6608,3.7639
114,235.4595,206.5142,74.8538,7.7321,0.41994,235.4595,206.5142,18.7134
115,235.2579,234.4569,135.8955,5.2133,1.04423,235.2579,234.4569,33.9739
116,119.0666,108.8350,37.1009,7.5693,0.72782,119.0666,108.8350,9.2752
117,62.9935,209.8798,41.8572,5.3870,1.14982,62.9935,209.8798,10.4643
118,139.7737,59.0087,46.4332,5.9068,1.01320,139.7737,59.0087,11.6083
119,96.4092,158.2143,226.7205,7.2533,2.61449,96.4092,158.2143,56.6801
