label,x_um,y_um,z_um,r_um,brightness,x_vox,y_vox,z_vox
1,138.9548,117.1719,94.4052,5.0301,1.00062,138.9548,117.1719,23.6013
2,154.9409,142.2200,144.5802,6.2343,1.16111,154.9409,142.2200,36.1451
3,110.3917,171.2340,157.2254,6.8476,0.87191,110.3917,171.2340,39.3063
4,148.1484,171.8065,165.8206,6.2007,0.64063,148.1484,171.8065,41.4552
5,149.9015,124.5783,69.1530,5.2287,0.79665,149.9015,124.5783,17.2882
6,92.7958,110.7580,162.5566,6.9796,0.60907,92.7958,110.7580,40.6392
7,140.3545,139.2664,127.2695,6.9048,1.03053,140.3545,139.2664,31.8174
8,83.6049,155.1922,153.2981,6.4483,1.95445,83.6049,155.1922,38.3245
9,96.6372,125.7230,157.6929,5.6734,0.78184,96.6372,125.7230,39.4232
10,164.0996,99.8671,160.9328,5.8950,0.73327,164.0996,99.8671,40.2332
11,162.8773,124.6881,146.5243,6.7070,1.27752,162.8773,124.6881,36.6311
12,117.9470,113.5166,90.2081,5.2850,1.19536,117.9470,113.5166,22.5520
13,159.5642,78.2138,126.7676,6.8784,1.05412,159.5642,78.2138,31.6919
14,119.3376,165.7833,175.4467,5.2352,0.62799,119.3376,165.7833,43.8617
15,143.3012,142.7829,166.5241,5.1688,0.98548,143.3012,142.7829,41.6310
16,152.3482,180.5913,123.7209,6.2578,1.41574,152.3482,180.5913,30.9302
17,166.1455,127.1391,169.7281,6.2713,0.51063,166.1455,127.1391,42.4320
18,122.3303,150.5027,157.9059,5.7750,0.79548,122.3303,150.5027,39.4765
19,137.6758,109.0796,84.2696,6.4616,0.38650,137.6758,109.0796,21.0674
20,144.6356,111.9626,162.7075,5.5760,0.52478,144.6356,111.9626,40.6769
21,85.9087,88.5648,137.4492,5.3459,0.39817,85.9087,88.5648,34.3623
22,135.2065,102.4263,130.0190,6.8451,0.88910,135.2065,102.4263,32.5047
23,132.9504,149.2061,113.3533,5.2497,0.53061,132.9504,149.2061,28.3383
24,166.3076,162.2077,129.0819,6.1896,1.14526,166.3076,162.2077,32.2705
25,120.4713,68.9280,135.0713,5.7380,1.08153,120.4713,68.9280,33.7678
26,111.9863,114.0242,134.4730,5.9391,0.91077,111.9863,114.0242,33.6182
27,146.2713,181.2206,99.2122,5.7844,0.28411,146.2713,181.2206,24.8030
28,114.6130,90.0865,169.8865,6.1588,0.76388,114.6130,90.0865,42.4716
29,104.9492,113.4954,173.8253,6.1786,0.97604,104.9492,113.4954,43.4563
30,123.4554,158.4367,139.4866,5.9819,1.05829,123.4554,158.4367,34.8717
31,172.9828,122.8895,119.9889,6.0899,0.46530,172.9828,122.8895,29.9972
32,147.1053,113.5366,182.7605,6.0834,0.78751,147.1053,113.5366,45.6901
33,146.7586,72.4262,145.4817,6.8477,0.61308,146.7586,72.4262,36.3704
34,102.7429,81.7600,101.8724,5.1403,0.66736,102.7429,81.7600,25.4681
35,134.4630,156.3522,178.5066,5.8754,1.69970,134.4630,156.3522,44.6266
36,119.4652,116.4765,123.2081,5.2327,0.66780,119.4652,116.4765,30.8020
37,124.5393,102.4257,98.9816,5.3308,0.98387,124.5393,102.4257,24.7454
38,153.9735,155.8729,146.6028,5.2602,1.55612,153.9735,155.8729,36.6507
39,112.0299,124.9256,88.2008,6.5099,0.74692,112.0299,124.9256,22.0502
40,121.6448,106.2058,176.6158,6.4719,0.94568,121.6448,106.2058,44.1540
41,104.6526,130.8504,110.0854,6.9453,1.05679,104.6526,130.8504,27.5213
42,88.9601,97.1733,166.6553,5.1853,1.03240,88.9601,97.1733,41.6638
43,81.0954,150.3634,119.2606,6.2232,0.54198,81.0954,150.3634,29.8151
44,104.2983,74.5011,118.4636,6.4744,1.03880,104.2983,74.5011,29.6159
45,100.1216,94.1009,83.0970,5.9059,1.97272,100.1216,94.1009,20.7742
46,153.7827,129.5518,178.4590,5.2796,0.46136,153.7827,129.5518,44.6148
47,139.4772,87.2108,123.3898,6.6047,1.53678,139.4772,87.2108,30.8475
48,104.8379,155.8573,129.7795,6.5214,1.06149,104.8379,155.8573,32.4449
49,107.8193,121.5663,76.4667,5.2128,0.72562,107.8193,121.5663,19.1167
50,155.6484,91.6869,126.0704,5.0682,2.71885,155.6484,91.6869,31.5176
51,88.8784,117.7721,145.6080,6.0424,1.46394,88.8784,117.7721,36.4020
52,100.5408,147.5327,110.0853,5.0086,0.54901,100.5408,147.5327,27.5213
53,165.7972,133.7460,158.2527,5.6665,1.03796,165.7972,133.7460,39.5632
54,113.0420,124.0851,189.8299,5.4098,1.33422,113.0420,124.0851,47.4575
55,126.7055,132.9789,146.4743,6.7954,0.90993,126.7055,132.9789,36.6186
56,100.0929,129.5354,138.9314,5.4384,1.40699,100.0929,129.5354,34.7329
57,142.3522,108.5596,143.3230,5.3115,0.96729,142.3522,108.5596,35.8307
58,154.1560,170.2854,103.1444,5.5206,1.39602,154.1560,170.2854,25.7861
59,104.4471,153.2080,179.3839,5.0706,2.05292,104.4471,153.2080,44.8460
60,175.8441,135.8209,134.5998,5.8051,0.71332,175.8441,135.8209,33.6499
61,138.3942,155.6025,129.3413,5.6335,1.10691,138.3942,155.6025,32.3353
62,82.2190,147.3094,143.0000,5.0918,0.79322,82.2190,147.3094,35.7500
63,152.8360,117.0449,111.0671,6.0082,1.06570,152.8360,117.0449,27.7668
64,122.0204,165.7103,84.0100,5.3034,0.55234,122.0204,165.7103,21.0025
65,90.7929,170.5924,124.7249,6.1521,0.74852,90.7929,170.5924,31.1812
66,113.1983,136.1522,127.2680,5.8576,0.90656,113.1983,136.1522,31.8170
67,134.5317,130.9089,72.8995,6.0801,1.56734,134.5317,130.9089,18.2249
68,76.6614,102.5472,145.4520,5.6680,1.77289,76.6614,102.5472,36.3630
69,72.1894,143.6550,102.4584,6.2463,0.51594,72.1894,143.6550,25.6146
70,129.9373,117.9379,189.8646,5.5812,0.67212,129.9373,117.9379,47.4661
71,98.1946,108.3347,138.1204,5.2837,1.38189,98.1946,108.3347,34.5301
72,106.2902,153.0732,83.2437,6.1667,0.36928,106.2902,153.0732,20.8109
73,118.2184,66.1921,120.2954,6.7544,0.79328,118.2184,66.1921,30.0739
74,103.3775,103.7384,120.5628,5.0582,0.95252,103.3775,103.7384,30.1407
75,101.3402,111.7464,96.8710,5.4267,1.87481,101.3402,111.7464,24.2178
76,126.4877,142.3810,172.4047,6.0838,1.41157,126.4877,142.3810,43.1012
77,166.7464,90.4726,98.4473,6.7464,0.84908,166.7464,90.4726,24.6118
78,99.7400,88.8184,110.3277,5.0601,0.83170,99.7400,88.8184,27.5819
79,114.4430,138.3565,168.2026,5.0989,0.88241,114.4430,138.3565,42.0507
80,92.3487,154.0805,170.6158,6.3050,2.14205,92.3487,154.0805,42.6540
81,185.6742,144.2642,112.6925,5.1945,0.80734,185.6742,144.2642,28.1731
82,103.6397,160.9494,110.3885,5.1146,0.85913,103.6397,160.9494,27.5971
83,125.9966,91.8772,120.6976,6.1826,1.19279,125.9966,91.8772,30.1744
84,152.5938,92.8730,171.4365,6.3101,0.94140,152.5938,92.8730,42.8591
85,156.8367,145.6359,91.5827,6.7728,0.90607,156.8367,145.6359,22.8957
86,67.5412,119.3481,116.3279,5.9597,0.57291,67.5412,119.3481,29.0820
87,111.6849,100.6791,73.4245,6.6019,0.99426,111.6849,100.6791,18.3561
88,66.5845,118.5187,134.1523,5.1677,0.80108,66.5845,118.5187,33.5381
89,90.8449,124.9795,78.0467,6.8728,1.79152,90.8449,124.9795,19.5117
90,169.5222,174.2692,124.2459,5.2531,1.38617,169.5222,174.2692,31.0615
91,126.9647,80.1187,100.4724,5.1005,0.98800,126.9647,80.1187,25.1181
92,162.0704,133.9163,88.3201,5.0928,1.39681,162.0704,133.9163,22.0800
93,107.8424,84.5484,136.7714,5.9868,0.84372,107.8424,84.5484,34.1929
94,101.6831,175.0303,117.5311,5.5865,1.69226,101.6831,175.0303,29.3828
95,138.2981,172.4450,91.4501,6.9195,0.99730,138.2981,172.4450,22.8625
96,152.9666,158.9283,171.8334,6.0173,1.33869,152.9666,158.9283,42.9583
97,112.1546,143.0204,145.1202,6.6179,0.52443,112.1546,143.0204,36.2801
98,150.1049,159.6253,131.4362,6.3250,1.18927,150.1049,159.6253,32.8590
99,110.3916,147.4918,117.6220,6.4518,0.42994,110.3916,147.4918,29.4055
