label,x_um,y_um,z_um,r_um,brightness,x_vox,y_vox,z_vox
1,38.7151,178.0247,49.1802,12.4626,1.02073,38.7151,178.0247,12.2950
2,217.4184,35.7693,41.4194,15.6290,2.26109,217.4184,35.7693,10.3548
3,57.2621,149.8851,17.3381,14.7335,2.08513,57.2621,149.8851,4.3345
4,222.8759,247.6065,40.2252,15.2075,0.73625,222.8759,247.6065,10.0563
5,244.5642,86.7925,19.0142,13.0690,0.83629,244.5642,86.7925,4.7536
6,159.3718,97.7006,35.6894,13.5616,0.72875,159.3718,97.7006,8.9223
7,84.7605,195.4441,27.2637,14.4100,1.40753,84.7605,195.4441,6.8159
8,99.6147,246.0891,29.2731,14.9388,0.96692,99.6147,246.0891,7.3183
9,210.1966,165.3216,23.8623,14.2130,1.56538,210.1966,165.3216,5.9656
10,44.4052,109.8993,33.4815,15.9175,0.33009,44.4052,109.8993,8.3704
11,58.6237,247.9150,42.7198,12.1148,2.55980,58.6237,247.9150,10.6799
12,276.0816,233.8218,25.3792,14.5479,0.94378,276.0816,233.8218,6.3448
13,241.9182,144.9081,34.2056,14.2384,1.50415,241.9182,144.9081,8.5514
14,176.1626,252.3360,39.7079,12.2503,0.92133,176.1626,252.3360,9.9270
15,158.8782,269.6624,19.6322,15.2126,0.79655,158.8782,269.6624,4.9081
16,123.0556,42.6085,35.6987,15.5028,1.32031,123.0556,42.6085,8.9247
17,135.0682,168.1686,31.9805,14.4677,1.64002,135.0682,168.1686,7.9951
18,32.9039,148.1836,49.9856,12.0459,0.88558,32.9039,148.1836,12.4964
19,304.1595,170.5868,17.6998,12.1769,0.91240,304.1595,170.5868,4.4249
20,74.9437,222.2435,33.4385,13.6742,1.50896,74.9437,222.2435,8.3596
21,132.5500,228.9884,48.2453,13.7447,0.59321,132.5500,228.9884,12.0613
22,28.9810,77.6822,27.7316,12.2856,0.40308,28.9810,77.6822,6.9329
23,191.6647,24.3704,17.4014,14.9571,1.26743,191.6647,24.3704,4.3503
24,268.8505,280.5084,27.3618,13.8081,0.66875,268.8505,280.5084,6.8405
25,283.1162,133.2075,39.6039,15.5495,0.31594,283.1162,133.2075,9.9010
26,59.1641,181.8884,17.4928,13.4614,0.61359,59.1641,181.8884,4.3732
27,277.9545,268.5410,49.3301,12.4695,0.75536,277.9545,268.5410,12.3325
28,210.1567,123.3463,21.4649,14.3759,0.48874,210.1567,123.3463,5.3662
29,61.2823,286.9075,31.6119,13.9486,0.40841,61.2823,286.9075,7.9030
30,26.6897,246.8987,23.1606,13.5982,1.02223,26.6897,246.8987,5.7901
31,150.1528,223.9986,29.5842,12.1174,1.71318,150.1528,223.9986,7.3961
32,206.1452,61.8614,14.8541,13.4565,0.86946,206.1452,61.8614,3.7135
33,21.3019,23.9926,35.1256,15.1445,0.64008,21.3019,23.9926,8.7814
34,33.5593,51.2321,27.4669,12.9050,1.25985,33.5593,51.2321,6.8667
35,232.0972,292.2072,27.2055,14.4967,1.53778,232.0972,292.2072,6.8014
36,95.2697,25.2818,24.0705,15.3124,0.83526,95.2697,25.2818,6.0176
37,251.2904,49.0114,49.9305,12.0848,1.38653,251.2904,49.0114,12.4826
38,279.6506,95.9411,23.7046,12.8959,1.86960,279.6506,95.9411,5.9262
39,244.2206,192.8048,21.6372,14.8587,0.88323,244.2206,192.8048,5.4093
40,235.4651,220.5089,46.4856,12.7229,0.61379,235.4651,220.5089,11.6214
41,182.0294,212.4576,28.2746,14.7822,1.23194,182.0294,212.4576,7.0687
42,181.9718,154.9751,39.3670,13.3731,1.16012,181.9718,154.9751,9.8417
43,129.8002,246.0441,19.5439,15.7073,1.93341,129.8002,246.0441,4.8860
44,292.5213,105.6949,45.2490,13.0153,0.46267,292.5213,105.6949,11.3122
45,298.9864,62.8363,46.6787,14.3791,0.67236,298.9864,62.8363,11.6697
46,61.9597,80.4678,26.9126,12.6363,0.60477,61.9597,80.4678,6.7282
47,57.6256,18.8768,48.0650,12.4616,0.35331,57.6256,18.8768,12.0162
48,79.1243,104.1536,25.7301,13.1419,1.07881,79.1243,104.1536,6.4325
49,111.6036,109.8936,43.0649,14.3000,1.37257,111.6036,109.8936,10.7662
50,86.2190,165.4077,37.5480,15.6800,0.64193,86.2190,165.4077,9.3870
51,300.2968,278.1674,34.9304,13.1515,2.29650,300.2968,278.1674,8.7326
52,194.5766,295.6918,18.6885,14.8454,1.63747,194.5766,295.6918,4.6721
53,175.1225,293.3079,38.9340,12.4080,1.45707,175.1225,293.3079,9.7335
54,194.6375,94.0552,45.0299,13.8731,1.27255,194.6375,94.0552,11.2575
55,94.9240,284.8690,26.4209,12.6377,1.77429,94.9240,284.8690,6.6052
56,149.6598,18.1578,33.9494,15.1593,0.44969,149.6598,18.1578,8.4873
57,289.0565,48.6755,18.0564,14.4273,1.44536,289.0565,48.6755,4.5141
58,78.2787,61.3710,16.5382,12.7669,1.43572,78.2787,61.3710,4.1345
59,145.8577,199.0465,23.4042,12.2006,0.34624,145.8577,199.0465,5.8511
60,49.2670,26.7532,19.7864,12.4748,1.23148,49.2670,26.7532,4.9466
61,180.0339,182.5290,17.8140,15.1997,0.86049,180.0339,182.5290,4.4535
62,112.7476,201.0007,18.0039,14.2024,1.59826,112.7476,201.0007,4.5010
63,24.3859,289.8971,22.7170,13.8070,0.76841,24.3859,289.8971,5.6792
64,42.7678,211.2098,30.0622,15.7637,0.98912,42.7678,211.2098,7.5155
65,264.9895,210.8107,44.2356,15.6693,1.22840,264.9895,210.8107,11.0589
66,108.5086,306.3023,49.6191,12.1887,0.59111,108.5086,306.3023,12.4048
67,173.4556,63.0373,41.4050,12.0958,1.43212,173.4556,63.0373,10.3513
68,256.9256,21.5726,16.7615,13.7422,0.93896,256.9256,21.5726,4.1904
69,131.1433,89.3093,30.8006,13.6568,1.34378,131.1433,89.3093,7.7001
70,177.5308,126.2751,46.3923,15.4070,0.73117,177.5308,126.2751,11.5981
71,225.6074,83.9749,41.4459,14.2408,1.91884,225.6074,83.9749,10.3615
72,288.0665,19.3601,23.2343,12.8020,1.43781,288.0665,19.3601,5.8086
73,14.7474,98.1095,35.5867,13.5770,0.89869,14.7474,98.1095,8.8967
74,97.8948,56.0638,41.7383,12.5601,1.46108,97.8948,56.0638,10.4346
75,212.0216,204.0958,20.2524,14.6075,2.12943,212.0216,204.0958,5.0631
76,247.8614,100.7728,41.2092,12.1187,2.92913,247.8614,100.7728,10.3023
77,172.4903,84.4714,14.5386,12.3206,0.38901,172.4903,84.4714,3.6346
78,86.3749,135.5772,29.7510,13.4837,1.69873,86.3749,135.5772,7.4378
79,198.5686,174.3663,49.7878,12.2772,1.32186,198.5686,174.3663,12.4470
80,125.8145,276.8215,42.2247,13.7120,0.94524,125.8145,276.8215,10.5562
81,286.4255,182.9812,42.2097,15.1002,0.54662,286.4255,182.9812,10.5524
82,149.4321,66.3272,26.3188,15.4063,2.12615,149.4321,66.3272,6.5797
83,15.8469,130.2999,35.8804,14.2473,0.46905,15.8469,130.2999,8.9701
84,248.9430,53.7569,21.1022,13.1077,1.40518,248.9430,53.7569,5.2756
85,15.7585,197.7754,42.6215,14.5141,2.18392,15.7585,197.7754,10.6554
86,296.2943,207.0136,28.4348,12.3268,0.38297,296.2943,207.0136,7.1087
